iter	Passed	Remaining
1517	15647	35892
1518	15657	35881
1519	15667	35870
1520	15678	35862
1521	15689	35853
1522	15719	35888
1523	15731	35880
1524	15742	35871
1525	15752	35862
1526	15764	35854
1527	15775	35846
1528	15786	35837
1529	15797	35828
1530	15807	35818
1531	15818	35807
1532	15829	35799
1533	15840	35791
1534	15853	35786
1535	15865	35780
1536	15877	35773
1537	15888	35764
1538	15898	35753
1539	15909	35743
1540	15919	35734
1541	15930	35724
1542	15941	35716
1543	15952	35707
1544	15964	35699
1545	15975	35692
1546	15986	35682
1547	15998	35675
1548	16009	35667
1549	16020	35658
1550	16030	35648
1551	16041	35639
1552	16052	35629
1553	16063	35620
1554	16074	35610
1555	16084	35601
1556	16095	35592
1557	16106	35583
1558	16117	35573
1559	16129	35568
1560	16140	35559
1561	16151	35550
1562	16163	35542
1563	16172	35530
1564	16183	35521
1565	16195	35514
1566	16205	35503
1567	16215	35492
1568	16226	35482
1569	16236	35472
1570	16246	35461
1571	16256	35450
1572	16267	35440
1573	16276	35428
1574	16286	35416
1575	16297	35408
1576	16307	35396
1577	16317	35386
1578	16327	35374
1579	16336	35362
1580	16346	35349
1581	16356	35338
1582	16365	35326
1583	16375	35315
1584	16386	35305
1585	16395	35292
1586	16405	35281
1587	16416	35273
1588	16426	35262
1589	16435	35249
1590	16445	35237
1591	16455	35226
1592	16464	35213
1593	16474	35201
1594	16484	35191
1595	16494	35179
1596	16503	35167
1597	16513	35156
1598	16523	35144
1599	16533	35134
1600	16544	35124
1601	16553	35112
1602	16563	35101
1603	16573	35090
1604	16583	35077
1605	16593	35067
1606	16603	35056
1607	16613	35045
1608	16623	35034
1609	16633	35022
1610	16643	35011
1611	16653	35000
1612	16663	34989
1613	16674	34982
1614	16685	34972
1615	16694	34959
1616	16705	34950
1617	16715	34939
1618	16725	34928
1619	16735	34917
1620	16745	34906
1621	16754	34893
1622	16764	34882
1623	16774	34871
1624	16784	34859
1625	16795	34850
1626	16805	34839
1627	16816	34830
1628	16826	34821
1629	16837	34812
1630	16847	34799
1631	16857	34789
1632	16868	34779
1633	16877	34767
1634	16888	34758
1635	16898	34747
1636	16907	34734
1637	16918	34725
1638	16928	34713
1639	16937	34701
1640	16948	34691
1641	16958	34680
1642	16967	34668
1643	16978	34659
1644	16988	34648
1645	16999	34638
1646	17009	34628
1647	17019	34617
1648	17029	34606
1649	17040	34597
1650	17050	34585
1651	17060	34575
1652	17070	34564
1653	17080	34554
1654	17090	34541
1655	17100	34531
1656	17112	34523
1657	17121	34511
1658	17131	34501
1659	17141	34488
1660	17150	34476
1661	17160	34466
1662	17170	34453
1663	17180	34443
1664	17189	34431
1665	17199	34420
1666	17210	34409
1667	17220	34399
